name	parent	size	ecc	peri	lop	t0	color	mu
Kerbol	None	261.6	0	1	0	0	#ffff66	8.751G
Moho	Kerbol	250.0m	200.0m	4.211k	85.00	27.10	#8f6e56	1.259k
Eve	Kerbol	700.0m	10.00m	9.734k	15.00	120.1	#663d8f	61.00k
Kerbin	Kerbol	600.0m	0.000	13.60k	0.000	213.1	#4d8080	26.36k
Duna	Kerbol	320.0m	51.00m	19.67k	135.5	99.29	#bd4828	2.250k
Dres	Kerbol	138.0m	145.0m	34.92k	370.0	1.048k	#9b9593	160.4
Jool	Kerbol	6.000	50.00m	65.33k	52.00	4.068k	#65ac39	2.109M
Eeloo	Kerbol	210.0m	259.8m	66.69k	310.0	4.645k	#d4e2e2	555.5
Mun	Kerbin	200.0m	0.000	12.00	0.000	4.69	#7b7b7b	486.3
Minmus	Kerbin	60.00m	0.000	47.00	116.0	26.68	#86b9a5	13.18
Gilly	Eve	13.00m	550.0m	14.18	90.0	10.92	#c4a292	61.88m
Ike	Duna	130.0m	30.00m	3.104	0.000	2.21	#5e555e	138.6
Laythe	Jool	500.0m	0.000	27.18	0.000	1.23	#525b7a	14.65k
Vall	Jool	300.0m	0.000	43.15	0.000	4.20	#4e6165	1.549k
Tylo	Jool	600.0m	0.000	68.50	0.000	4.91	#847762	21.09k
Bop	Jool	65.00m	235.0m	98.30	35.0	19.15	#5c493d	18.56
Pol	Jool	44.00m	171.0m	149.2	17.0	33.80	#e2cd9c	5.388
