name	parent	size	ecc	peri	lop	t0	color	mu
Sun	None	695.7	0	1	0	0	#ffff66	990.7G
Mercury	Sun	2.440	205.6m	46.00k	77.46	45.257	#a08563	164.47k
Venus	Sun	6.052	6.777m	107.5k	131.60	193.26	#d0952f	2.425M
Earth	Sun	6.371	16.71m	147.1k	102.94	2.509	#15599e	2.976M
Mars	Sun	3.390	93.39m	206.7k	336.06	649.97	#dc3a09	319.7k
Jupiter	Sun	69.91	48.39m	740.5k	14.73	4.096k	#ac7339	945.7G
Saturn	Sun	54.36	53.86m	1.350M	92.60	1.275k	#d5992b	283.1M
Uranus	Sun	25.56	47.26m	2.735M	170.95	18.56k	#190c8d	43.26M
Neptune	Sun	24.76	8.59m	4.460M	44.96	16.73k	#072592	51.04M
Pluto	Sun	1.188	248.8m	4.437M	224.07	86.82k	#88562b	6.493k
Moon	Earth	1.738	55.7m	362.6	318.2	10.8	#c3aa88	36.61k
Ganym	Jupiter	2.634	1.3m	1.069k	256.0	6.19	#b48c64	73.83k
Titan	Saturn	2.576	28.8m	1.186k	208.6	6.81	#d9ac26	67.02k
Calli	Jupiter	2.410	7.4m	1.869k	351.5	15.12	#80804d	53.62k
Io	Jupiter	1.822	4.1m	420.1	128.1	89m	#fff566	44.50k
Europa	Jupiter	1.561	9.0m	664.9	308.1	562m	#dcbfa3	23.92k
Triton	Neptune	1.353	0.0m	354.8	243.8	5.33	#60709f	10.66k
Eris	Sun	1.163	441m	5.723M	187.5	2.342M	#555555	8.27k
Ceres	Sun	473m	79.1m	381.0k	153.0	529.9	#a39e8f	468.0
